LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
29.100333,1450691.333,31967,3,MZ,1,100,-18
29.139000,1450730.000,31967,3,MZ,1,100,-18
29.178000,1450769.000,31983,3,MZ,1,100,-17
29.217000,1450808.000,31983,3,MZ,1,100,-18
29.256000,1450847.000,31983,3,MZ,1,100,-16
29.295000,1450886.000,32000,2,MZ,1,100,-16
29.334000,1450925.000,32000,2,MZ,1,100,-17
29.373000,1450964.000,32018,3,MZ,1,100,-15
29.412000,1451003.000,32018,3,MZ,1,100,-15
29.451000,1451042.000,32018,3,MZ,1,100,-17
29.490000,1451081.000,32035,2,MZ,1,100,-16
29.529000,1451120.000,32035,2,MZ,1,100,-16
29.567333,1451158.333,32051,3,MZ,1,100,-16
29.605667,1451196.667,32051,3,MZ,1,100,-17
29.644000,1451235.000,32051,3,MZ,1,100,-18
29.678667,1451269.667,32069,3,MZ,1,100,-18
29.713333,1451304.333,32069,3,MZ,1,100,-18
29.748000,1451339.000,32069,3,MZ,1,100,-17
29.786333,1451377.333,32086,3,MZ,1,100,-17
29.824667,1451415.667,32086,3,MZ,1,100,-17
29.863000,1451454.000,32086,3,MZ,1,100,-16
29.903000,1451494.000,32103,2,MZ,1,100,-18
29.943000,1451534.000,32103,2,MZ,1,100,-16
29.982333,1451573.333,32119,3,MZ,1,100,-16
30.021667,1451612.667,32119,3,MZ,1,100,-18
30.061000,1451652.000,32119,3,MZ,1,100,-18
30.100000,1451691.000,32137,2,MZ,1,100,-18
30.139000,1451730.000,32137,2,MZ,1,100,-16
30.178000,1451769.000,32153,3,MZ,1,100,-16
30.217000,1451808.000,32153,3,MZ,1,100,-16
30.256000,1451847.000,32153,3,MZ,1,100,-18
30.295000,1451886.000,32169,2,MZ,1,100,-16
30.334000,1451925.000,32169,2,MZ,1,100,-16
30.372667,1451963.667,32186,3,MZ,1,100,-17
30.411333,1452002.333,32186,3,MZ,1,100,-16
30.450000,1452041.000,32186,3,MZ,1,100,-16
30.490000,1452081.000,32203,3,MZ,1,100,-17
30.530000,1452121.000,32203,3,MZ,1,100,-17
30.570000,1452161.000,32203,3,MZ,1,100,-17
30.609500,1452200.500,32219,2,MZ,1,100,-16
30.649000,1452240.000,32219,2,MZ,1,100,-17
30.688000,1452279.000,32236,3,MZ,1,100,-18
30.727000,1452318.000,32236,3,MZ,1,100,-17
30.766000,1452357.000,32236,3,MZ,1,100,-18
30.805000,1452396.000,32254,2,MZ,1,100,-17
30.844000,1452435.000,32254,2,MZ,1,100,-18
30.883000,1452474.000,32271,3,MZ,1,100,-18
30.922000,1452513.000,32271,3,MZ,1,100,-18
30.961000,1452552.000,32271,3,MZ,1,100,-16
30.999333,1452590.333,32290,3,MZ,1,100,-17
31.037667,1452628.667,32290,3,MZ,1,100,-18
31.076000,1452667.000,32290,3,MZ,1,100,-18
31.116000,1452707.000,32307,2,MZ,1,100,-17
31.156000,1452747.000,32307,2,MZ,1,100,-17
31.194333,1452785.333,32322,3,MZ,1,100,-16
31.232667,1452823.667,32322,3,MZ,1,100,-16
31.271000,1452862.000,32322,3,MZ,1,100,-16
31.305667,1452896.667,32340,3,MZ,1,100,-16
31.340333,1452931.333,32340,3,MZ,1,100,-16
31.375000,1452966.000,32340,3,MZ,1,100,-17
31.414000,1453005.000,32356,2,MZ,1,100,-16
31.453000,1453044.000,32356,2,MZ,1,100,-17
31.492667,1453083.667,32373,3,MZ,1,100,-17
31.532333,1453123.333,32373,3,MZ,1,100,-18
