LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
10.980000,1432571.000,28940,4,AZ,1,100,-0.279
11.019000,1432610.000,28940,4,AZ,1,100,-0.276
11.058000,1432649.000,28940,4,AZ,1,100,-0.273
11.097000,1432688.000,28940,4,AZ,1,100,-0.283
11.135500,1432726.500,28956,2,AZ,1,100,-0.254
11.174000,1432765.000,28956,2,AZ,1,100,-0.249
11.213000,1432804.000,28976,3,AZ,1,100,-0.235
11.252000,1432843.000,28976,3,AZ,1,100,-0.204
11.291000,1432882.000,28976,3,AZ,1,100,-0.172
11.330333,1432921.333,28991,3,AZ,1,100,-0.152
11.369667,1432960.667,28991,3,AZ,1,100,-0.126
11.409000,1433000.000,28991,3,AZ,1,100,-0.136
11.449000,1433040.000,29008,2,AZ,1,100,-0.132
11.489000,1433080.000,29008,2,AZ,1,100,-0.150
11.528000,1433119.000,29025,3,AZ,1,100,-0.107
11.567000,1433158.000,29025,3,AZ,1,100,-0.063
11.606000,1433197.000,29025,3,AZ,1,100,-0.013
11.645000,1433236.000,29042,2,AZ,1,100,-0.008
11.684000,1433275.000,29042,2,AZ,1,100,0.024
11.723000,1433314.000,29058,3,AZ,1,100,0.021
11.762000,1433353.000,29058,3,AZ,1,100,0.022
11.801000,1433392.000,29058,3,AZ,1,100,0.040
11.840000,1433431.000,29075,3,AZ,1,100,0.056
11.879000,1433470.000,29075,3,AZ,1,100,0.087
11.918000,1433509.000,29075,3,AZ,1,100,0.123
11.956000,1433547.000,29091,2,AZ,1,100,0.181
11.994000,1433585.000,29091,2,AZ,1,100,0.149
12.034000,1433625.000,29108,3,AZ,1,100,0.115
12.074000,1433665.000,29108,3,AZ,1,100,0.065
12.114000,1433705.000,29108,3,AZ,1,100,0.028
12.153000,1433744.000,29125,2,AZ,1,100,0.023
12.192000,1433783.000,29125,2,AZ,1,100,0.053
12.231000,1433822.000,29143,3,AZ,1,100,0.094
12.270000,1433861.000,29143,3,AZ,1,100,0.134
12.309000,1433900.000,29143,3,AZ,1,100,0.133
12.343667,1433934.667,29159,3,AZ,1,100,0.144
12.378333,1433969.333,29159,3,AZ,1,100,0.172
12.413000,1434004.000,29159,3,AZ,1,100,0.169
12.452000,1434043.000,29176,2,AZ,1,100,0.142
12.491000,1434082.000,29176,2,AZ,1,100,0.146
12.529333,1434120.333,29195,3,AZ,1,100,0.182
12.567667,1434158.667,29195,3,AZ,1,100,0.224
12.606000,1434197.000,29195,3,AZ,1,100,0.221
12.645000,1434236.000,29212,3,AZ,1,100,0.231
12.684000,1434275.000,29212,3,AZ,1,100,0.283
12.723000,1434314.000,29212,3,AZ,1,100,0.254
12.762000,1434353.000,29227,2,AZ,1,100,0.252
12.801000,1434392.000,29227,2,AZ,1,100,0.276
12.840000,1434431.000,29245,3,AZ,1,100,0.300
12.879000,1434470.000,29245,3,AZ,1,100,0.290
12.918000,1434509.000,29245,3,AZ,1,100,0.289
12.957000,1434548.000,29261,2,AZ,1,100,0.293
12.996000,1434587.000,29261,2,AZ,1,100,0.283
13.036000,1434627.000,29278,3,AZ,1,100,0.260
13.076000,1434667.000,29278,3,AZ,1,100,0.223
13.116000,1434707.000,29278,3,AZ,1,100,0.208
13.155000,1434746.000,29294,3,AZ,1,100,0.190
13.194000,1434785.000,29294,3,AZ,1,100,0.218
13.233000,1434824.000,29294,3,AZ,1,100,0.235
13.272000,1434863.000,29313,2,AZ,1,100,0.316
13.311000,1434902.000,29313,2,AZ,1,100,0.271
13.349333,1434940.333,29329,3,AZ,1,100,0.171
13.387667,1434978.667,29329,3,AZ,1,100,0.136
13.426000,1435017.000,29329,3,AZ,1,100,0.143
13.465000,1435056.000,29347,2,AZ,1,100,0.129
13.504000,1435095.000,29347,2,AZ,1,100,0.100
13.543000,1435134.000,29363,3,AZ,1,100,0.065
13.582000,1435173.000,29363,3,AZ,1,100,0.039
13.621000,1435212.000,29363,3,AZ,1,100,0.065
13.661000,1435252.000,29379,2,AZ,1,100,0.050
13.701000,1435292.000,29379,2,AZ,1,100,0.037
13.740333,1435331.333,29398,3,AZ,1,100,0.026
