LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1669792425.646773,600512.000,26697,2,AK,1,100,RD
1669792428.229446,603035.000,27501,2,AK,1,100,26695
1669792430.812120,605558.000,27501,2,AK,1,100,RD
1669792430.866373,605611.000,27504,2,AK,1,100,27502
1669792430.920627,605664.000,27504,2,AK,1,100,RD
1669792433.495623,608179.500,28306,2,AK,1,100,27502
1669792436.070618,610695.000,28306,2,AK,1,100,RD
1669792436.089044,610713.000,28309,2,AK,1,100,28307
1669792436.107470,610731.000,28309,2,AK,1,100,RD
1669792438.701915,613265.500,29111,2,AK,1,100,28307
1669792441.296360,615800.000,29111,2,AK,1,100,RD
1669792441.313251,615816.500,29114,2,AK,1,100,29112
1669792441.330141,615833.000,29114,2,AK,1,100,RD
1669792443.925610,618368.500,29913,2,AK,1,100,29112
1669792446.521079,620904.000,29913,2,AK,1,100,RD
1669792446.542575,620925.000,29916,2,AK,1,100,29914
1669792446.564072,620946.000,29916,2,AK,1,100,RD
1669792449.156470,623478.500,30714,2,AK,1,100,29914
1669792451.748868,626011.000,30714,2,AK,1,100,RD
1669792451.762176,626024.000,30717,2,AK,1,100,30715
1669792451.775483,626037.000,30717,2,AK,1,100,RD
1669792454.387330,628588.500,31532,2,AK,1,100,30715
1669792456.999178,631140.000,31532,2,AK,1,100,RD
1669792457.011461,631152.000,31535,2,AK,1,100,31533
1669792457.023745,631164.000,31535,2,AK,1,100,RD
1669792459.629451,633709.500,32332,2,AK,1,100,31533
1669792462.235156,636255.000,32332,2,AK,1,100,RD
1669792462.246416,636266.000,32335,2,AK,1,100,32333
1669792462.257676,636277.000,32335,2,AK,1,100,RD
1669792464.879760,638838.500,33152,2,AK,1,100,32333
1669792467.501844,641400.000,33152,2,AK,1,100,RD
1669792467.518223,641416.000,33155,2,AK,1,100,33153
1669792467.534601,641432.000,33155,2,AK,1,100,RD
1669792470.147984,643985.000,33953,2,AK,1,100,33153
1669792472.761367,646538.000,33953,2,AK,1,100,RD
1669792472.774162,646550.500,33956,2,AK,1,100,33954
1669792472.786958,646563.000,33956,2,AK,1,100,RD
1669792475.393687,649109.500,34756,2,AK,1,100,33954
1669792478.000416,651656.000,34756,2,AK,1,100,RD
1669792478.013212,651668.500,34759,2,AK,1,100,34757
1669792478.026007,651681.000,34759,2,AK,1,100,RD
1669792480.636831,654231.500,35561,2,AK,1,100,34757
1669792483.247655,656782.000,35561,2,AK,1,100,RD
1669792483.283994,656817.500,35564,2,AK,1,100,35562
1669792483.320334,656853.000,35564,2,AK,1,100,RD
1669792485.898401,659371.500,36345,2,AK,1,100,35562
1669792488.476468,661890.000,36345,2,AK,1,100,RD
1669792488.505130,661918.000,36348,2,AK,1,100,36346
1669792488.533792,661946.000,36348,2,AK,1,100,RD
1669792491.124655,664477.000,37151,2,AK,1,100,36346
1669792493.715517,667008.000,37151,2,AK,1,100,RD
1669792493.728313,667020.500,37154,2,AK,1,100,37152
1669792493.741108,667033.000,37154,2,AK,1,100,RD
1669792496.364727,669596.000,37956,2,AK,1,100,37152
1669792498.988347,672159.000,37956,2,AK,1,100,RD
1669792499.000631,672171.000,37959,2,AK,1,100,37957
1669792499.012915,672183.000,37959,2,AK,1,100,RD
1669792501.617085,674727.000,38760,2,AK,1,100,37957
1669792504.221254,677271.000,38760,2,AK,1,100,RD
1669792504.232515,677282.000,38763,2,AK,1,100,38761
1669792504.243775,677293.000,38763,2,AK,1,100,RD
1669792506.846409,679835.500,39566,2,AK,1,100,38761
1669792509.449044,682378.000,39566,2,AK,1,100,RD
1669792509.461328,682390.000,39569,2,AK,1,100,39567
1669792509.473611,682402.000,39569,2,AK,1,100,RD
1669792512.088018,684956.000,40373,2,AK,1,100,39567
1669792514.702424,687510.000,40373,2,AK,1,100,RD
1669792514.714196,687521.500,40376,2,AK,1,100,40374
1669792514.725968,687533.000,40376,2,AK,1,100,RD
1669792517.339863,690086.500,41180,2,AK,1,100,40374
1669792519.953758,692640.000,41180,2,AK,1,100,RD
1669792519.965529,692651.500,41183,2,AK,1,100,41181
