RD,TS_received,TS_sent,AK,RoundTrip,
2773215,2778340,2023-11-16_09-50-50-698929,2778350,5125,
2778362,2783477,2023-11-16_09-50-56-261195,2783485,5115,
2783497,
2788576,2793692,2023-11-16_09-51-07-383834,2793695,5116,
2793695,2798801,2023-11-16_09-51-12-657824,2798804,5106,
2798804,
2803913,2809052,2023-11-16_09-51-20-529455,2809061,5139,
2809073,
2814185,2819301,2023-11-16_09-51-33-330226,2819310,5116,
2819322,2824410,2023-11-16_09-51-38-586933,2824412,5088,
2824413,
2829509,2834643,2023-11-16_09-51-49-595115,2834646,5134,
2834646,
2839725,
2844833,
2849945,
2855053,
2860237,
2865338,
2870446,
2875565,
2880681,
2885821,
2890899,
2896007,
2901115,
2906228,
2911363,
2916465,
2921573,
2926681,
2931789,
2936951,
2942059,
2947175,2952296,2023-11-16_09-53-49-822155,2952298,5121,
2952299,2957422,2023-11-16_09-53-54-589518,2957430,5123,
2957443,2962530,2023-11-16_09-54-00-348894,2962539,5087,
2962551,2967638,2023-11-16_09-54-05-344390,2967640,5087,
2967641,2972773,2023-11-16_09-54-10-256908,2972777,5132,
2972777,2977900,2023-11-16_09-54-14-877605,2977909,5123,
2977922,2983009,2023-11-16_09-54-19-575232,2983017,5087,
2983036,0,,2988152,-2983036,
2988164,2993270,2023-11-16_09-54-30-500836,2993279,5106,
2993291,2998377,2023-11-16_09-54-35-516353,2998379,5086,
2998380,3003502,2023-11-16_09-54-41-862731,3003511,5122,
3003522,0,,3008640,-3003522,
3008640,
3013745,3018862,2023-11-16_09-54-57-256962,3018865,5117,
3018865,3023970,2023-11-16_09-55-02-661825,3023979,5105,
3023991,3029097,2023-11-16_09-55-08-123489,3029099,5106,
3029100,
3034196,
3039305,
3044412,
3049520,
3054630,3059746,2023-11-16_09-55-39-662299,3059749,5116,
3059750,3064880,2023-11-16_09-55-45-024695,3064890,5130,
3064902,
3069999,
3075119,
3080244,
3085339,
3090447,
3177178,
3182292,3187409,2023-11-16_09-57-48-923159,3187411,5117,
3187412,3192524,2023-11-16_09-57-54-374400,3192532,5112,
3192544,3192621,2023-11-16_09-57-58-451182,3192625,77,
3197674,3202800,2023-11-16_09-58-03-715542,3202809,5126,
3202812,
3207909,3213025,2023-11-16_09-58-15-784718,3213028,5116,
3213028,3218141,2023-11-16_09-58-21-650874,3218143,5113,
3218144,
3223239,0,,3228372,-3223239,
3228385,
3233490,
3238606,3243729,2023-11-16_09-58-47-732986,3243737,5123,
3243749,
3248827,3253998,2023-11-16_09-58-57-986141,3254001,5171,
3254002,
3259098,
3264206,3269322,2023-11-16_09-59-13-964972,3269325,5116,
3269325,3274431,2023-11-16_09-59-19-030351,3274440,5106,
3274452,0,,3279532,-3274452,
3279532,3284656,2023-11-16_09-59-28-907142,3284659,5124,
3284659,
3289758,
3308572,
3313688,3318826,2023-11-16_10-00-02-999795,3318835,5138,
3318848,3323973,2023-11-16_10-00-08-673573,3323982,5125,
3323982,3329087,2023-11-16_10-00-14-124092,3329096,5105,
3329108,
3334211,
3339319,3344437,2023-11-16_10-00-30-253297,3344440,5118,
3344440,3349563,2023-11-16_10-00-36-045851,3349573,5123,
3349585,
3354663,
3359771,
3364879,0,,3369990,-3364879,
3369990,
3375095,
3380220,
3399821,
3404949,
3410058,3415204,2023-11-16_10-01-43-054402,3415208,5146,
3415208,3420336,2023-11-16_10-01-48-087401,3420344,5128,
3420356,0,,3425458,-3420356,
3425459,3430572,2023-11-16_10-01-59-151442,3430575,5113,
3430575,3435697,2023-11-16_10-02-04-025321,3435706,5122,
3435719,3440838,2023-11-16_10-02-09-070771,3440841,5119,
3440842,3445946,2023-11-16_10-02-14-159578,3445955,5104,
3445967,3451070,2023-11-16_10-02-20-229440,3451079,5103,
3451098,3456178,2023-11-16_10-02-25-178377,3456181,5080,
3456182,3461287,2023-11-16_10-02-30-559971,3461289,5105,
3461290,3466395,2023-11-16_10-02-35-948985,3466404,5105,
3466407,
3471503,0,,3476619,-3471503,
3476631,
3493117,
3498225,
3503333,
3508441,3513566,2023-11-16_10-03-23-550628,3513576,5125,
3513588,3518673,2023-11-16_10-03-29-055029,3518676,5085,
3518676,0,,3523786,-3518676,
3523786,
3528890,3534042,2023-11-16_10-03-44-652176,3534051,5152,
3534063,3539172,2023-11-16_10-03-50-369646,3539175,5109,
3539175,3544286,2023-11-16_10-03-55-333675,3544296,5111,
3544308,
3549402,3554521,2023-11-16_10-04-05-797998,3554530,5119,
3554542,0,,3559623,-3554542,
3559623,3564755,2023-11-16_10-04-16-072087,3564763,5132,
3564775,3569862,2023-11-16_10-04-21-202801,3569865,5087,
3569865,0,,3574969,-3569865,
3574970,3580084,2023-11-16_10-04-31-667388,3580092,5114,
3580096,3585239,2023-11-16_10-04-37-024161,3585242,5143,
3585242,3590340,2023-11-16_10-04-41-857267,3590349,5098,
3590362,3595491,2023-11-16_10-04-47-424090,3595494,5129,
3595494,0,,3600598,-3595494,
3600598,0,,3605707,-3600598,
3605707,
3610812,3615934,2023-11-16_10-05-08-283071,3615936,5122,
3615937,3621036,2023-11-16_10-05-13-446429,3621039,5099,
3621040,3626164,2023-11-16_10-05-18-399210,3626173,5124,
3626185,3631291,2023-11-16_10-05-23-419978,3631300,5106,
3631312,3636430,2023-11-16_10-05-28-335464,3636440,5118,
3636452,3641564,2023-11-16_10-05-34-604645,3641574,5112,
3641587,3646707,2023-11-16_10-05-39-547268,3646710,5120,
3646710,
3651817,3656984,2023-11-16_10-05-49-960844,3656987,5167,
3656989,3662092,2023-11-16_10-05-55-825222,3662101,5103,
3662113,
3667201,
3672309,
3677417,
3682525,
3687633,3692841,2023-11-16_10-06-28-082675,3692843,5208,
3692844,
3697968,
3703080,
3708223,3713331,2023-11-16_10-06-49-030195,3713334,5108,
3713334,3718457,2023-11-16_10-06-53-607065,3718460,5123,
3718460,3723575,2023-11-16_10-06-59-363844,3723578,5115,
3723578,3728682,2023-11-16_10-07-03-950447,3728685,5104,
3728685,0,,3733801,-3728685,
3733802,3738915,2023-11-16_10-07-14-898772,3738918,5113,
3738918,3744038,2023-11-16_10-07-19-949113,3744041,5120,
