RD,TS_received,TS_sent,AK,RoundTrip,
1952949,1953003,2022-12-30_16-17-44-435431,1953008,54,
1958079,1958099,2022-12-30_16-17-49-659119,1958102,20,
1963204,1963224,2022-12-30_16-17-54-902815,1963227,20,
1968335,1968407,2022-12-30_16-18-00-206696,1968413,72,
1973466,1973494,2022-12-30_16-18-05-425097,1973498,28,
1978575,1978608,2022-12-30_16-18-10-648522,1978610,33,
1983676,1983707,2022-12-30_16-18-15-866584,1983710,31,
1988794,1988813,2022-12-30_16-18-21-106369,1988817,19,
1993963,1993994,2022-12-30_16-18-26-411665,1993997,31,
1999089,1999109,2022-12-30_16-18-31-648423,1999112,20,
2004232,2004330,2022-12-30_16-18-36-970663,2004335,98,
2009360,2009401,2022-12-30_16-18-42-188941,2009405,41,
2014467,2014506,2022-12-30_16-18-47-406413,2014511,39,
2019580,2019605,2022-12-30_16-18-52-626478,2019608,25,
2024688,2024709,2022-12-30_16-18-57-854483,2024713,21,
2029810,2029829,2022-12-30_16-19-03-097832,2029832,19,
2034936,2034957,2022-12-30_16-19-08-344981,2034961,21,
2040055,2040123,2022-12-30_16-19-13-627249,2040128,68,
2045161,2045220,2022-12-30_16-19-18-848540,2045222,59,
2050301,2050320,2022-12-30_16-19-24-074161,2050323,19,
2055425,2055445,2022-12-30_16-19-29-331639,2055448,20,
2060546,2060617,2022-12-30_16-19-34-618415,2060620,71,
2065694,2065712,2022-12-30_16-19-39-842689,2065715,18,
2070828,2070849,2022-12-30_16-19-45-104034,2070852,21,
2075949,2076016,2022-12-30_16-19-50-388025,2076020,67,
2081068,2081113,2022-12-30_16-19-55-610973,2081117,45,
2086185,2086219,2022-12-30_16-20-00-834624,2086222,34,
2091293,2091321,2022-12-30_16-20-06-054081,2091324,28,
2096404,2096425,2022-12-30_16-20-11-285073,2096428,21,
2101524,2101544,2022-12-30_16-20-16-525025,2101547,20,
2106645,2106665,2022-12-30_16-20-21-768293,2106667,20,
2111765,2111829,2022-12-30_16-20-27-049031,2111833,64,
2116874,2116926,2022-12-30_16-20-32-269463,2116929,52,
2121998,2122017,2022-12-30_16-20-37-482052,2122020,19,
2127113,2127133,2022-12-30_16-20-42-718094,2127136,20,
2132221,2132242,2022-12-30_16-20-47-950314,2132245,21,
2137364,2137383,2022-12-30_16-20-53-214926,2137386,19,
2142479,2142529,2022-12-30_16-20-58-483877,2142532,50,
2147588,2147635,2022-12-30_16-21-03-706317,2147639,47,
2152687,2152727,2022-12-30_16-21-08-927424,2152730,40,
2157834,2157854,2022-12-30_16-21-14-171822,2157857,20,
2162941,2162962,2022-12-30_16-21-19-401889,2162964,21,
2168095,2168123,2022-12-30_16-21-24-697939,2168126,28,
2173203,2173238,2022-12-30_16-21-29-919707,2173241,35,
2178312,2178334,2022-12-30_16-21-35-143774,2178339,22,
2183463,2183534,2022-12-30_16-21-40-471501,2183539,71,
2188596,2188630,2022-12-30_16-21-45-690577,2188633,34,
2193694,2193734,2022-12-30_16-21-50-913953,2193737,40,
2198810,2198932,2022-12-30_16-21-56-238120,2203930,122,
2203942,2203962,2022-12-30_16-22-01-385245,2203965,20,
2209049,2209135,2022-12-30_16-22-06-683280,2209140,86,
2214170,2214230,2022-12-30_16-22-11-905741,2214235,60,
2219269,2219290,2022-12-30_16-22-17-078056,2219292,21,
2224401,2224421,2022-12-30_16-22-22-331611,2224424,20,
2229511,2229542,2022-12-30_16-22-27-573271,2229545,31,
2234609,2234632,2022-12-30_16-22-32-785052,2234635,23,
2239765,2239786,2022-12-30_16-22-38-054181,2239789,21,
2244915,2244952,2022-12-30_16-22-43-343242,2244955,37,
2250026,2250050,2022-12-30_16-22-48-564281,2250053,24,
2255137,2255157,2022-12-30_16-22-53-794346,2255160,20,
2260247,2260266,2022-12-30_16-22-59-030891,2260270,19,
2265375,2265395,2022-12-30_16-23-04-275116,2265399,20,
2270489,2270559,2022-12-30_16-23-09-558452,2270562,70,
2275591,2275610,2022-12-30_16-23-14-727592,2275613,19,
2280739,2280763,2022-12-30_16-23-20-005496,2280766,24,
2285847,2285870,2022-12-30_16-23-25-225741,2285873,23,
2290953,2290975,2022-12-30_16-23-30-459387,2290977,22,
2296091,2296110,2022-12-30_16-23-35-712747,2296112,19,
2301199,2301270,2022-12-30_16-23-40-995452,2301273,71,
2306340,2306376,2022-12-30_16-23-46-218047,2306382,36,
2311448,2311473,2022-12-30_16-23-51-440173,2311476,25,
2316552,2316572,2022-12-30_16-23-56-662229,2316575,20,
2321684,2321771,2022-12-30_16-24-01-987125,2321773,87,
2326792,2326811,2022-12-30_16-24-07-150740,2326814,19,
2331921,2331973,2022-12-30_16-24-12-432638,2331976,52,
2337052,2337074,2022-12-30_16-24-17-656019,2337077,22,
2342151,2342194,2022-12-30_16-24-22-898096,2342197,43,
2347274,2347294,2022-12-30_16-24-28-117254,2347298,20,
