LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
8.753000,4137477.000,51781,2,PG,1,100,9732
8.793000,4137517.000,51781,2,PG,1,100,9718
8.833000,4137557.000,51797,3,PG,1,100,9726
8.873000,4137597.000,51797,3,PG,1,100,9734
8.913000,4137637.000,51797,3,PG,1,100,9695
8.952000,4137676.000,51815,2,PG,1,100,9650
8.991000,4137715.000,51815,2,PG,1,100,9597
9.030000,4137754.000,51833,3,PG,1,100,9563
9.069000,4137793.000,51833,3,PG,1,100,9564
9.108000,4137832.000,51833,3,PG,1,100,9549
9.146000,4137870.000,51847,2,PG,1,100,9554
9.184000,4137908.000,51847,2,PG,1,100,9561
9.227333,4137951.333,51864,3,PG,1,100,9552
9.270667,4137994.667,51864,3,PG,1,100,9548
9.314000,4138038.000,51864,3,PG,1,100,9553
9.353000,4138077.000,51879,3,PG,1,100,9558
9.392000,4138116.000,51879,3,PG,1,100,9563
9.431000,4138155.000,51879,3,PG,1,100,9553
9.471000,4138195.000,51895,2,PG,1,100,9508
9.511000,4138235.000,51895,2,PG,1,100,9454
9.550000,4138274.000,51911,3,PG,1,100,9434
9.589000,4138313.000,51911,3,PG,1,100,9431
9.628000,4138352.000,51911,3,PG,1,100,9431
9.667000,4138391.000,51926,2,PG,1,100,9452
9.706000,4138430.000,51926,2,PG,1,100,9456
9.745000,4138469.000,51941,3,PG,1,100,9457
9.784000,4138508.000,51941,3,PG,1,100,9465
9.823000,4138547.000,51941,3,PG,1,100,9465
9.862000,4138586.000,51958,2,PG,1,100,9474
9.901000,4138625.000,51958,2,PG,1,100,9504
9.939333,4138663.333,51975,3,PG,1,100,9522
9.977667,4138701.667,51975,3,PG,1,100,9525
10.016000,4138740.000,51975,3,PG,1,100,9527
10.055000,4138779.000,51990,3,PG,1,100,9542
10.094000,4138818.000,51990,3,PG,1,100,9588
10.133000,4138857.000,51990,3,PG,1,100,9629
10.172000,4138896.000,52005,2,PG,1,100,9673
10.211000,4138935.000,52005,2,PG,1,100,9691
10.250000,4138974.000,52022,3,PG,1,100,9691
10.289000,4139013.000,52022,3,PG,1,100,9706
10.328000,4139052.000,52022,3,PG,1,100,9712
10.367000,4139091.000,52037,2,PG,1,100,9710
10.406000,4139130.000,52037,2,PG,1,100,9707
10.445000,4139169.000,52053,3,PG,1,100,9699
10.484000,4139208.000,52053,3,PG,1,100,9657
10.523000,4139247.000,52053,3,PG,1,100,9614
10.568000,4139292.000,52068,2,PG,1,100,9591
10.613000,4139337.000,52068,2,PG,1,100,9587
10.652000,4139376.000,52084,3,PG,1,100,9600
10.691000,4139415.000,52084,3,PG,1,100,9611
10.730000,4139454.000,52084,3,PG,1,100,9623
10.768333,4139492.333,52099,3,PG,1,100,9630
10.806667,4139530.667,52099,3,PG,1,100,9622
10.845000,4139569.000,52099,3,PG,1,100,9636
10.884000,4139608.000,52116,2,PG,1,100,9651
10.923000,4139647.000,52116,2,PG,1,100,9659
10.962667,4139686.667,52134,3,PG,1,100,9637
11.002333,4139726.333,52134,3,PG,1,100,9586
11.042000,4139766.000,52134,3,PG,1,100,9548
11.082000,4139806.000,52150,2,PG,1,100,9546
11.122000,4139846.000,52150,2,PG,1,100,9560
11.161000,4139885.000,52166,3,PG,1,100,9582
11.200000,4139924.000,52166,3,PG,1,100,9603
11.239000,4139963.000,52166,3,PG,1,100,9612
11.278000,4140002.000,52182,2,PG,1,100,9640
11.317000,4140041.000,52182,2,PG,1,100,9651
11.355000,4140079.000,52197,3,PG,1,100,9686
11.393000,4140117.000,52197,3,PG,1,100,9717
11.431000,4140155.000,52197,3,PG,1,100,9745
11.471000,4140195.000,52213,3,PG,1,100,9711
11.511000,4140235.000,52213,3,PG,1,100,9657
11.551000,4140275.000,52213,3,PG,1,100,9598
11.590000,4140314.000,52228,2,PG,1,100,9582
11.629000,4140353.000,52228,2,PG,1,100,9569
11.668000,4140392.000,52244,3,PG,1,100,9562
11.707000,4140431.000,52244,3,PG,1,100,9552
11.746000,4140470.000,52244,3,PG,1,100,9544
11.785000,4140509.000,52259,2,PG,1,100,9541
11.824000,4140548.000,52259,2,PG,1,100,9540
11.867333,4140591.333,52277,3,PG,1,100,9531
11.910667,4140634.667,52277,3,PG,1,100,9541
11.954000,4140678.000,52277,3,PG,1,100,9515
11.993000,4140717.000,52292,2,PG,1,100,9483
12.032000,4140756.000,52292,2,PG,1,100,9442
12.071000,4140795.000,52308,3,PG,1,100,9441
12.110000,4140834.000,52308,3,PG,1,100,9465
12.149000,4140873.000,52308,3,PG,1,100,9488
12.187000,4140911.000,52324,2,PG,1,100,9511
12.225000,4140949.000,52324,2,PG,1,100,9534
12.264000,4140988.000,52340,3,PG,1,100,9548
12.303000,4141027.000,52340,3,PG,1,100,9569
12.342000,4141066.000,52340,3,PG,1,100,9583
12.381000,4141105.000,52354,3,PG,1,100,9619
12.420000,4141144.000,52354,3,PG,1,100,9651
12.459000,4141183.000,52354,3,PG,1,100,9636
12.498000,4141222.000,52371,2,PG,1,100,9608
12.537000,4141261.000,52371,2,PG,1,100,9594
12.576000,4141300.000,52386,3,PG,1,100,9593
12.615000,4141339.000,52386,3,PG,1,100,9612
12.654000,4141378.000,52386,3,PG,1,100,9610
12.693000,4141417.000,52402,2,PG,1,100,9622
12.732000,4141456.000,52402,2,PG,1,100,9624
12.770333,4141494.333,52417,3,PG,1,100,9610
12.808667,4141532.667,52417,3,PG,1,100,9615
12.847000,4141571.000,52417,3,PG,1,100,9624
12.886000,4141610.000,52435,3,PG,1,100,9631
12.925000,4141649.000,52435,3,PG,1,100,9602
12.964000,4141688.000,52435,3,PG,1,100,9528
13.003000,4141727.000,52450,2,PG,1,100,9484
13.042000,4141766.000,52450,2,PG,1,100,9448
13.081000,4141805.000,52466,3,PG,1,100,9435
13.120000,4141844.000,52466,3,PG,1,100,9450
13.159000,4141883.000,52466,3,PG,1,100,9450
13.197500,4141921.500,52482,2,PG,1,100,9447
13.236000,4141960.000,52482,2,PG,1,100,9448
13.279333,4142003.333,52497,3,PG,1,100,9445
13.322667,4142046.667,52497,3,PG,1,100,9459
13.366000,4142090.000,52497,3,PG,1,100,9463
13.405000,4142129.000,52512,2,PG,1,100,9453
13.444000,4142168.000,52512,2,PG,1,100,9407
